行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
1098,CN-202023-5591469,2024/6/27,2024/7/2,标准级,付霖-17515,付霖,公司,鹤岗,黑龙江,中国,东北,家具-书架-10002197,家具,书架,搁架,3962,5,0,435.4
1099,CN-202023-5591469,2024/6/27,2024/7/2,标准级,付霖-17515,付霖,公司,鹤岗,黑龙江,中国,东北,办公用-装订-10004132,办公用品,装订机,孔加固材料,124.6,5,0,16.1
1100,CN-202020-2375545,2021/12/6,2021/12/10,标准级,邱谦-19255,邱谦,公司,石河子,新疆,中国,西北,家具-用具-10003733,家具,用具,闹钟,704.34,3,0,196.98
1101,CN-202020-2375545,2021/12/6,2021/12/10,标准级,邱谦-19255,邱谦,公司,石河子,新疆,中国,西北,办公用-收纳-10002508,办公用品,收纳具,锁柜,2903.04,3,0,1131.9
1102,CN-202022-5907567,2023/9/10,2023/9/14,二级,刘斯-20965,刘斯云,公司,福州,福建,中国,华东,办公用-纸张-10000416,办公用品,纸张,笔记本,142.38,1,0,22.68
1103,CN-202021-2904914,2022/10/10,2022/10/16,标准级,潘涛-21205,潘涛,公司,清远,广东,中国,中南,家具-书架-10004880,家具,书架,书库,5122.74,3,0,1434.3
1104,CN-202021-2904914,2022/10/10,2022/10/16,标准级,潘涛-21205,潘涛,公司,清远,广东,中国,中南,家具-椅子-10002476,家具,椅子,折叠椅,770.364,2,0.1,76.804
1105,CN-202022-2609031,2023/9/20,2023/9/23,二级,吕灵-17575,吕灵,消费者,尚志,黑龙江,中国,东北,技术-设备-10004381,技术,设备,电话,1187.76,3,0,0
1106,CN-202022-2609031,2023/9/20,2023/9/23,二级,吕灵-17575,吕灵,消费者,尚志,黑龙江,中国,东北,办公用-纸张-10003091,办公用品,纸张,笔记本,613.2,5,0,232.4
1107,CN-202022-2609031,2023/9/20,2023/9/23,二级,吕灵-17575,吕灵,消费者,尚志,黑龙江,中国,东北,家具-书架-10004836,家具,书架,书架,9038.12,13,0,3885.7
1108,CN-202021-2581069,2022/3/5,2022/3/12,标准级,佘升-20170,佘升,消费者,株洲,湖南,中国,中南,家具-用具-10003663,家具,用具,框架,2713.9,5,0,949.2
1109,CN-202022-5763224,2023/5/29,2023/6/4,标准级,侯虹-13825,侯虹,公司,七台河,黑龙江,中国,东北,技术-电话-10003758,技术,电话,充电器,14996.1,5,0,1649.2
1110,CN-202020-5781167,2021/4/30,2021/5/5,标准级,邓黎-16465,邓黎明,消费者,泉州,福建,中国,华东,办公用-纸张-10000746,办公用品,纸张,信纸,1054.2,5,0,442.4
1111,CN-202023-2923559,2024/1/15,2024/1/17,一级,罗君-15235,罗君,消费者,天津,天津,中国,华北,家具-书架-10001035,家具,书架,柜,666.54,1,0,166.6
1112,CN-202023-5909028,2024/9/4,2024/9/4,当日,巩德-12070,巩德,小型企业,鞍山,辽宁,中国,东北,家具-用具-10000751,家具,用具,门挡,344.232,3,0.4,28.392
1113,CN-202023-4282122,2024/7/1,2024/7/2,一级,宋立-16840,宋立,消费者,梅州,广东,中国,中南,家具-椅子-10003795,家具,椅子,沙滩椅,1035.216,4,0.1,275.856
1114,CN-202023-4282122,2024/7/1,2024/7/2,一级,宋立-16840,宋立,消费者,梅州,广东,中国,中南,办公用-纸张-10003326,办公用品,纸张,令,290.92,2,0,145.32
1115,CN-202023-1455994,2024/9/19,2024/9/20,一级,许根-13240,许根基,小型企业,百色,广西,中国,中南,办公用-用品-10000855,办公用品,用品,剪刀,210.56,2,0,25.2
1116,CN-202022-5927801,2023/10/25,2023/10/30,标准级,范谙-18760,范谙,消费者,钦州,广西,中国,中南,家具-用具-10004087,家具,用具,门挡,660.66,3,0,211.26
1117,CN-202022-5927801,2023/10/25,2023/10/30,标准级,范谙-18760,范谙,消费者,钦州,广西,中国,中南,技术-设备-10004791,技术,设备,卡片打印机,2249.1,3,0,449.82
1118,CN-202022-5927801,2023/10/25,2023/10/30,标准级,范谙-18760,范谙,消费者,钦州,广西,中国,中南,家具-椅子-10002321,家具,椅子,椅垫,1729.602,7,0.1,710.402
1119,CN-202022-5927801,2023/10/25,2023/10/30,标准级,范谙-18760,范谙,消费者,钦州,广西,中国,中南,家具-椅子-10002286,家具,椅子,椅垫,502.488,2,0.1,61.208
1120,CN-202022-4497265,2023/11/16,2023/11/17,一级,涂博-10585,涂博,消费者,四平,吉林,中国,东北,家具-书架-10003069,家具,书架,搁架,2746.8,3,0,906.36
1121,CN-202022-4497265,2023/11/16,2023/11/17,一级,涂博-10585,涂博,消费者,四平,吉林,中国,东北,办公用-系固-10004461,办公用品,系固件,图钉,322.56,6,0,83.16
1122,CN-202022-4497265,2023/11/16,2023/11/17,一级,涂博-10585,涂博,消费者,四平,吉林,中国,东北,办公用-器具-10003122,办公用品,器具,炉灶,2620.52,1,0,812.28
1123,CN-202021-4092793,2022/11/26,2022/11/29,二级,潘博-10540,潘博,消费者,无锡,江苏,中国,华东,家具-书架-10003011,家具,书架,书架,829.752,2,0.4,68.992
1124,CN-202022-4246507,2023/1/24,2023/1/26,二级,龚松-20710,龚松,小型企业,辽阳,辽宁,中国,东北,办公用-美术-10001978,办公用品,美术,铅笔刀,161.896,7,0.8,-396.704
1125,CN-202022-4246507,2023/1/24,2023/1/26,二级,龚松-20710,龚松,小型企业,辽阳,辽宁,中国,东北,家具-书架-10002899,家具,书架,古典书架,2305.8,2,0.4,-538.16
1126,CN-202022-4246507,2023/1/24,2023/1/26,二级,龚松-20710,龚松,小型企业,辽阳,辽宁,中国,东北,技术-电话-10003598,技术,电话,办公室电话机,803.712,4,0.4,-535.808
1127,CN-202022-4246507,2023/1/24,2023/1/26,二级,龚松-20710,龚松,小型企业,辽阳,辽宁,中国,东北,办公用-用品-10001696,办公用品,用品,开信刀,397.32,5,0.4,-199.08
1128,US-202022-3069391,2023/8/22,2023/8/26,标准级,陶博-10570,陶博,消费者,成都,四川,中国,西南,技术-配件-10001617,技术,配件,鼠标,397.32,5,0.4,-112.98
1129,US-202022-3069391,2023/8/22,2023/8/26,标准级,陶博-10570,陶博,消费者,成都,四川,中国,西南,办公用-装订-10003861,办公用品,装订机,打孔机,312.144,4,0.4,-182.336
1130,US-202022-3069391,2023/8/22,2023/8/26,标准级,陶博-10570,陶博,消费者,成都,四川,中国,西南,办公用-标签-10004705,办公用品,标签,合法证物标签,82.6,2,0,0.56
1131,US-202022-3069391,2023/8/22,2023/8/26,标准级,陶博-10570,陶博,消费者,成都,四川,中国,西南,办公用-系固-10000678,办公用品,系固件,按钉,122.976,3,0.4,-10.584
1132,US-202022-3069391,2023/8/22,2023/8/26,标准级,陶博-10570,陶博,消费者,成都,四川,中国,西南,办公用-标签-10003689,办公用品,标签,圆形标签,105.42,3,0,51.24
1133,CN-202023-3883671,2024/11/6,2024/11/8,二级,施菊-15040,施菊,消费者,北京,北京,中国,华北,办公用-纸张-10001285,办公用品,纸张,计划信息表,513.1,5,0,128.1
1134,CN-202023-3883671,2024/11/6,2024/11/8,二级,施菊-15040,施菊,消费者,北京,北京,中国,华北,技术-配件-10004920,技术,配件,键区,795.9,3,0,206.64
1135,CN-202023-2779535,2024/10/9,2024/10/13,标准级,钱婵-10780,钱婵娟,公司,包头,内蒙古,中国,华北,办公用-收纳-10004747,办公用品,收纳具,文件夹,238.14,3,0,76.02
1136,CN-202023-2779535,2024/10/9,2024/10/13,标准级,钱婵-10780,钱婵娟,公司,包头,内蒙古,中国,华北,办公用-标签-10000539,办公用品,标签,文件夹标签,84.28,2,0,26.04
1137,CN-202023-2779535,2024/10/9,2024/10/13,标准级,钱婵-10780,钱婵娟,公司,包头,内蒙古,中国,华北,办公用-标签-10002844,办公用品,标签,圆形标签,67.2,3,0,14.7
1138,CN-202023-3095328,2024/8/13,2024/8/18,标准级,万兰-15730,万兰,消费者,长春,吉林,中国,东北,办公用-器具-10000088,办公用品,器具,搅拌机,2947.84,7,0,294
1139,CN-202022-3189070,2023/7/23,2023/7/27,标准级,常崆-15505,常崆,消费者,北京,北京,中国,华北,家具-用具-10003876,家具,用具,相框,727.44,3,0,57.96
1140,CN-202022-3189070,2023/7/23,2023/7/27,标准级,常崆-15505,常崆,消费者,北京,北京,中国,华北,办公用-装订-10003269,办公用品,装订机,标签,82.74,3,0,8.82
1141,CN-202020-3964185,2021/9/7,2021/9/10,二级,孟刚-13180,孟刚,公司,泗水,山东,中国,华东,办公用-纸张-10004455,办公用品,纸张,令,782.88,6,0,250.32
1142,CN-202020-3964185,2021/9/7,2021/9/10,二级,孟刚-13180,孟刚,公司,泗水,山东,中国,华东,办公用-纸张-10002408,办公用品,纸张,计划信息表,114.38,1,0,5.6
1143,CN-202022-1516102,2023/5/14,2023/5/21,标准级,巩光-13435,巩光,消费者,萍乡,江西,中国,华东,技术-复印-10004787,技术,复印机,墨水,2034.9,3,0,793.38
1144,CN-202022-1516102,2023/5/14,2023/5/21,标准级,巩光-13435,巩光,消费者,萍乡,江西,中国,华东,办公用-美术-10002672,办公用品,美术,画布,483.28,2,0,110.88
1145,US-202020-5591257,2021/12/24,2021/12/29,标准级,佘平-19165,佘平,消费者,金乡,浙江,中国,华东,办公用-装订-10000994,办公用品,装订机,装订机,40.32,1,0.4,-4.06
1146,US-202020-5591257,2021/12/24,2021/12/29,标准级,佘平-19165,佘平,消费者,金乡,浙江,中国,华东,办公用-器具-10004757,办公用品,器具,炉灶,3141.432,2,0.4,-680.848
1147,CN-202020-2267443,2021/1/27,2021/1/29,一级,韦华-14095,韦华,公司,重庆,重庆,中国,西南,办公用-收纳-10003617,办公用品,收纳具,文件车,4382.56,7,0,744.8
1148,CN-202020-2267443,2021/1/27,2021/1/29,一级,韦华-14095,韦华,公司,重庆,重庆,中国,西南,办公用-标签-10001238,办公用品,标签,合法证物标签,54.74,1,0,15.82
1149,CN-202020-2267443,2021/1/27,2021/1/29,一级,韦华-14095,韦华,公司,重庆,重庆,中国,西南,办公用-美术-10004410,办公用品,美术,画布,1257.9,5,0,100.1
1150,CN-202020-2267443,2021/1/27,2021/1/29,一级,韦华-14095,韦华,公司,重庆,重庆,中国,西南,技术-设备-10002765,技术,设备,打印机,6090.7,5,0,182.7
1151,CN-202021-4961841,2022/9/3,2022/9/10,标准级,黄盛-20350,黄盛,小型企业,上海,上海,中国,华东,技术-设备-10004928,技术,设备,打印机,7455,6,0,1416.24
1152,CN-202023-2720607,2024/5/27,2024/6/2,标准级,严诚-11395,严诚,公司,蚌埠,安徽,中国,华东,技术-复印-10001796,技术,复印机,传真机,2968.28,2,0,831.04
1153,CN-202021-5533473,2022/6/1,2022/6/3,一级,吕婵-10840,吕婵娟,消费者,兰州,甘肃,中国,西北,技术-设备-10003147,技术,设备,收据打印机,603.288,2,0.4,-341.992
1154,CN-202021-5533473,2022/6/1,2022/6/3,一级,吕婵-10840,吕婵娟,消费者,兰州,甘肃,中国,西北,办公用-纸张-10004521,办公用品,纸张,信纸,451.64,2,0,157.92
1155,CN-202022-4251154,2023/5/8,2023/5/12,标准级,徐岱-11875,徐岱,公司,安庆,安徽,中国,华东,办公用-美术-10000960,办公用品,美术,铅笔刀,334.32,3,0.2,0
1156,CN-202022-4251154,2023/5/8,2023/5/12,标准级,徐岱-11875,徐岱,公司,安庆,安徽,中国,华东,办公用-美术-10001455,办公用品,美术,速写本,348.992,2,0.2,-43.848
1157,CN-202023-4162714,2024/10/13,2024/10/16,二级,宋忠-11530,宋忠,小型企业,汕头,广东,中国,中南,办公用-标签-10000026,办公用品,标签,可去除的标签,96.32,2,0,22.96
1158,CN-202023-4162714,2024/10/13,2024/10/16,二级,宋忠-11530,宋忠,小型企业,汕头,广东,中国,中南,家具-书架-10004000,家具,书架,墙角架,3424.4,5,0,33.6
1159,CN-202023-4162714,2024/10/13,2024/10/16,二级,宋忠-11530,宋忠,小型企业,汕头,广东,中国,中南,技术-电话-10002053,技术,电话,耳机,418.74,1,0,150.64
1160,CN-202022-4167270,2023/6/24,2023/6/27,二级,施菊-15040,施菊,消费者,杭州,浙江,中国,华东,办公用-器具-10003572,办公用品,器具,咖啡研磨机,343.224,2,0.4,-74.536
1161,CN-202022-4167270,2023/6/24,2023/6/27,二级,施菊-15040,施菊,消费者,杭州,浙江,中国,华东,办公用-信封-10004257,办公用品,信封,局间信封,433.44,2,0,125.44
1162,CN-202022-4167270,2023/6/24,2023/6/27,二级,施菊-15040,施菊,消费者,杭州,浙江,中国,华东,家具-书架-10004416,家具,书架,墙角架,1052.856,3,0.4,-123.144
1163,CN-202022-4167270,2023/6/24,2023/6/27,二级,施菊-15040,施菊,消费者,杭州,浙江,中国,华东,技术-电话-10003653,技术,电话,充电器,1789.2,1,0.4,149.1
1164,US-202023-1069751,2024/4/24,2024/4/30,标准级,周康-15340,周康,消费者,自贡,四川,中国,西南,办公用-器具-10002966,办公用品,器具,冰箱,4167.072,3,0.4,-0.168
1165,US-202023-1069751,2024/4/24,2024/4/30,标准级,周康-15340,周康,消费者,自贡,四川,中国,西南,办公用-纸张-10001302,办公用品,纸张,笔记本,248.08,2,0,76.72
1166,CN-202022-3279950,2023/5/24,2023/5/25,一级,陈霖-17500,陈霖,消费者,洛阳,福建,中国,华东,技术-设备-10001343,技术,设备,喷墨打印机,8694,6,0,2868.6
1167,CN-202022-3279950,2023/5/24,2023/5/25,一级,陈霖-17500,陈霖,消费者,洛阳,福建,中国,华东,家具-书架-10004172,家具,书架,柜,2363.76,3,0,1086.96
1168,CN-202023-5058012,2024/5/13,2024/5/17,标准级,康丽-15865,康丽,消费者,重庆,重庆,中国,西南,办公用-标签-10002839,办公用品,标签,合法证物标签,253.4,5,0,50.4
1169,CN-202020-2831197,2021/6/6,2021/6/10,二级,陶莞-13315,陶莞颖,消费者,咸宁,湖北,中国,中南,办公用-纸张-10004748,办公用品,纸张,羊皮纸,125.72,2,0,60.2
1170,US-202022-4026974,2023/9/10,2023/9/14,标准级,白栋-12295,白栋,消费者,武汉,湖北,中国,中南,技术-电话-10003757,技术,电话,智能手机,1726.62,5,0.4,-978.88
1171,US-202022-4026974,2023/9/10,2023/9/14,标准级,白栋-12295,白栋,消费者,武汉,湖北,中国,中南,办公用-系固-10004097,办公用品,系固件,回形针,187.32,5,0.4,-38.08
1172,CN-202023-5450028,2024/9/29,2024/10/5,标准级,柳明-18310,柳明,小型企业,烟台,山东,中国,华东,技术-设备-10001433,技术,设备,计算器,1516.06,7,0,272.44
1173,CN-202023-2831197,2024/2/3,2024/2/6,二级,封乐-17740,封乐,消费者,北海,广西,中国,中南,家具-椅子-10002686,家具,椅子,沙滩椅,365.652,2,0.1,56.812
1174,CN-202020-2554132,2021/11/11,2021/11/16,标准级,何晨-11140,何晨,消费者,漳州,福建,中国,华东,家具-书架-10000581,家具,书架,墙角架,1701.42,3,0,68.04
1175,CN-202023-2210906,2024/4/15,2024/4/19,标准级,许根-13240,许根基,小型企业,塘沽,天津,中国,华北,办公用-信封-10000928,办公用品,信封,商业信封,223.44,3,0,93.66
1176,US-202023-5171199,2024/11/26,2024/11/30,标准级,梁安-10195,梁安,公司,抚顺,辽宁,中国,东北,办公用-系固-10000944,办公用品,系固件,夹子,107.688,2,0.4,-12.712
1177,US-202023-5171199,2024/11/26,2024/11/30,标准级,梁安-10195,梁安,公司,抚顺,辽宁,中国,东北,家具-椅子-10000270,家具,椅子,凳子,2268.42,5,0.4,-794.08
1178,US-202023-5033587,2024/8/13,2024/8/18,标准级,沈聪-11710,沈聪,消费者,成都,四川,中国,西南,技术-配件-10003190,技术,配件,记忆卡,630.672,2,0.4,-420.448
1179,CN-202022-4288435,2023/9/12,2023/9/18,标准级,邱梦-18160,邱梦,消费者,苏州,江苏,中国,华东,办公用-器具-10000088,办公用品,器具,搅拌机,505.344,2,0.4,-252.896
1180,CN-202022-4288435,2023/9/12,2023/9/18,标准级,邱梦-18160,邱梦,消费者,苏州,江苏,中国,华东,办公用-器具-10000736,办公用品,器具,冰箱,2956.464,2,0.4,-788.536
1181,CN-202022-4288435,2023/9/12,2023/9/18,标准级,邱梦-18160,邱梦,消费者,苏州,江苏,中国,华东,技术-电话-10000619,技术,电话,音频基座,1869.504,4,0.4,-1153.376
1182,US-202020-2656096,2021/8/17,2021/8/18,一级,贺斯-20935,贺斯云,消费者,沈阳,辽宁,中国,东北,家具-椅子-10001460,家具,椅子,摇椅,2512.944,6,0.4,-1172.976
1183,US-202020-2656096,2021/8/17,2021/8/18,一级,贺斯-20935,贺斯云,消费者,沈阳,辽宁,中国,东北,办公用-用品-10000222,办公用品,用品,开信刀,303.072,4,0.4,-161.728
1184,CN-202020-5145560,2021/12/8,2021/12/14,标准级,钱崆-15490,钱崆,消费者,长春,吉林,中国,东北,家具-椅子-10004961,家具,椅子,椅垫,1275.12,4,0,599.2
1185,CN-202023-5398212,2024/4/13,2024/4/16,一级,楚伟-21445,楚伟,公司,宝山,黑龙江,中国,东北,技术-复印-10000725,技术,复印机,复印机,3351.6,3,0,33.18
1186,US-202022-2055991,2023/11/20,2023/11/22,二级,袁临-17485,袁临耀,消费者,成都,四川,中国,西南,办公用-用品-10003575,办公用品,用品,尺子,83.328,2,0.4,-5.712
1187,CN-202023-2779535,2024/6/25,2024/6/29,标准级,曾康-15445,曾康,消费者,武汉,湖北,中国,中南,办公用-用品-10003489,办公用品,用品,剪刀,64.428,1,0.4,-26.852
1188,US-202022-2877300,2023/5/25,2023/5/27,二级,邱栋-12265,邱栋,消费者,冷水江,湖南,中国,中南,办公用-美术-10003381,办公用品,美术,速写本,173.936,1,0.2,-24.024
1189,CN-202023-4015472,2024/10/31,2024/11/5,二级,付丽-15790,付丽,消费者,信阳,河南,中国,中南,技术-复印-10000037,技术,复印机,墨水,4120.2,6,0,1482.6
1190,CN-202023-4015472,2024/10/31,2024/11/5,二级,付丽-15790,付丽,消费者,信阳,河南,中国,中南,办公用-标签-10001500,办公用品,标签,圆形标签,188.16,6,0,91.56
1191,US-202022-2665116,2023/2/7,2023/2/10,二级,吕兰-15700,吕兰,消费者,丹东,辽宁,中国,东北,办公用-用品-10001508,办公用品,用品,修剪器,369.432,3,0.4,-111.048
1192,CN-202020-4190541,2021/6/19,2021/6/23,标准级,谷莲-16990,谷莲,公司,上海,上海,中国,华东,办公用-收纳-10004673,办公用品,收纳具,盒,251.3,5,0,4.9
1193,US-202021-2136895,2022/7/17,2022/7/19,一级,邵伟-21565,邵伟,公司,成都,四川,中国,西南,技术-复印-10004968,技术,复印机,墨水,1081.08,3,0.4,-666.96
1194,US-202020-2190451,2021/11/9,2021/11/16,标准级,卢爽-20530,卢爽,消费者,乌海,内蒙古,中国,华北,办公用-器具-10001372,办公用品,器具,炉灶,3011.232,2,0.4,-1455.608
1195,CN-202023-3223872,2024/10/9,2024/10/13,标准级,许绅-19960,许绅,消费者,惠州,广东,中国,中南,办公用-收纳-10004334,办公用品,收纳具,锁柜,2962.68,3,0,1095.78
1196,CN-202023-3223872,2024/10/9,2024/10/13,标准级,许绅-19960,许绅,消费者,惠州,广东,中国,中南,办公用-收纳-10000306,办公用品,收纳具,文件夹,408.8,5,0,147
1197,CN-202023-1815663,2024/9/15,2024/9/15,当日,薛荷-13705,薛荷,公司,河坡,广东,中国,中南,办公用-用品-10002441,办公用品,用品,尺子,269.36,4,0,15.68
1198,CN-202023-1815663,2024/9/15,2024/9/15,当日,薛荷-13705,薛荷,公司,河坡,广东,中国,中南,技术-设备-10002994,技术,设备,收据打印机,1711.5,3,0,136.92
1199,CN-202023-3585437,2024/8/13,2024/8/15,一级,徐菊-15070,徐菊,消费者,内江,四川,中国,西南,办公用-装订-10004840,办公用品,装订机,孔加固材料,26.88,2,0.4,-13.16
1200,CN-202023-3585437,2024/8/13,2024/8/15,一级,徐菊-15070,徐菊,消费者,内江,四川,中国,西南,家具-椅子-10001132,家具,椅子,椅垫,297.36,2,0.4,-119
1201,CN-202023-3478143,2024/2/15,2024/2/20,标准级,田江-14635,田江丽,公司,明水,黑龙江,中国,东北,办公用-系固-10000353,办公用品,系固件,按钉,131.6,2,0,60.48
1202,US-202023-4246507,2024/4/27,2024/4/27,当日,夏柏-18955,夏柏,小型企业,呼和浩特,内蒙古,中国,华北,办公用-美术-10004772,办公用品,美术,钢笔,31.668,3,0.8,-117.432
1203,US-202020-4733722,2021/8/22,2021/8/23,一级,郝壁-10420,郝壁,公司,辽中,辽宁,中国,东北,技术-配件-10003154,技术,配件,鼠标,789.684,7,0.4,-198.156
1204,US-202020-4733722,2021/8/22,2021/8/23,一级,郝壁-10420,郝壁,公司,辽中,辽宁,中国,东北,技术-电话-10002340,技术,电话,耳机,1026.06,5,0.4,153.86
1205,CN-202021-2776676,2022/5/28,2022/6/1,二级,巩德-12070,巩德,小型企业,三亚,海南,中国,中南,办公用-系固-10004142,办公用品,系固件,按钉,203.28,3,0,40.32
1206,CN-202021-2776676,2022/5/28,2022/6/1,二级,巩德-12070,巩德,小型企业,三亚,海南,中国,中南,家具-椅子-10001310,家具,椅子,沙滩椅,217.098,1,0.1,94.038
1207,CN-202021-2776676,2022/5/28,2022/6/1,二级,巩德-12070,巩德,小型企业,三亚,海南,中国,中南,家具-桌子-10000627,家具,桌子,圆桌,1587.18,1,0.25,-190.54
1208,CN-202021-2776676,2022/5/28,2022/6/1,二级,巩德-12070,巩德,小型企业,三亚,海南,中国,中南,技术-配件-10003981,技术,配件,记忆卡,1937.04,4,0,755.44
1209,CN-202021-2776676,2022/5/28,2022/6/1,二级,巩德-12070,巩德,小型企业,三亚,海南,中国,中南,办公用-标签-10000355,办公用品,标签,有色标签,431.2,7,0,158.76
1210,CN-202023-1151037,2024/7/6,2024/7/12,标准级,徐婵-11005,徐婵,小型企业,林口,黑龙江,中国,东北,家具-用具-10001014,家具,用具,相框,484.4,2,0,19.32
1211,CN-202023-1151037,2024/7/6,2024/7/12,标准级,徐婵-11005,徐婵,小型企业,林口,黑龙江,中国,东北,技术-配件-10004728,技术,配件,记忆卡,4867.38,9,0,923.58
1212,CN-202021-4575912,2022/6/11,2022/6/17,标准级,袁关-15670,袁关茵,消费者,肇源,黑龙江,中国,东北,办公用-装订-10002474,办公用品,装订机,打孔机,793.8,6,0,293.16
1213,CN-202021-3577786,2022/5/17,2022/5/19,二级,何虢-13480,何虢,小型企业,汕头,广东,中国,中南,办公用-用品-10002349,办公用品,用品,剪刀,303.66,3,0,27.3
1214,CN-202021-3577786,2022/5/17,2022/5/19,二级,何虢-13480,何虢,小型企业,汕头,广东,中国,中南,办公用-标签-10000869,办公用品,标签,有色标签,119.56,2,0,59.64
1215,CN-202022-2203847,2023/11/25,2023/11/30,标准级,武杰-14815,武杰,小型企业,威海,山东,中国,华东,技术-设备-10000970,技术,设备,喷墨打印机,7247.1,5,0,3260.6
1216,US-202022-3694355,2023/6/14,2023/6/19,标准级,许根-13240,许根基,小型企业,青州,山东,中国,华东,办公用-标签-10001867,办公用品,标签,合法证物标签,152.88,3,0,30.24
1217,US-202022-3694355,2023/6/14,2023/6/19,标准级,许根-13240,许根基,小型企业,青州,山东,中国,华东,技术-配件-10004920,技术,配件,键区,795.9,3,0,206.64
1218,CN-202021-4861225,2022/4/27,2022/5/2,标准级,白立-16660,白立荣,消费者,铁力,黑龙江,中国,东北,办公用-标签-10002018,办公用品,标签,合法证物标签,273.42,7,0,56.84
1219,CN-202022-2245112,2023/8/22,2023/8/22,当日,万冬-12460,万冬露,消费者,哈尔滨,黑龙江,中国,东北,技术-复印-10001080,技术,复印机,无线传真机,6670.72,4,0,66.64
1220,CN-202021-1891447,2022/10/17,2022/10/21,标准级,范雯-21685,范雯,小型企业,邓州,河南,中国,中南,技术-复印-10002364,技术,复印机,复印机,3691.38,3,0,1734.6
1221,CN-202021-1891447,2022/10/17,2022/10/21,标准级,范雯-21685,范雯,小型企业,邓州,河南,中国,中南,办公用-纸张-10003365,办公用品,纸张,计划信息表,105,1,0,0
1222,CN-202021-1891447,2022/10/17,2022/10/21,标准级,范雯-21685,范雯,小型企业,邓州,河南,中国,中南,办公用-美术-10003504,办公用品,美术,画布,1603.84,8,0.2,-321.44
1223,CN-202021-1891447,2022/10/17,2022/10/21,标准级,范雯-21685,范雯,小型企业,邓州,河南,中国,中南,技术-配件-10003355,技术,配件,闪存驱动器,194.74,1,0,38.92
1224,CN-202022-5909028,2023/8/10,2023/8/14,标准级,韩莞-13255,韩莞颖,小型企业,哈尔滨,黑龙江,中国,东北,办公用-用品-10003797,办公用品,用品,尺子,389.9,5,0,73.5
1225,CN-202022-5909028,2023/8/10,2023/8/14,标准级,韩莞-13255,韩莞颖,小型企业,哈尔滨,黑龙江,中国,东北,办公用-信封-10002118,办公用品,信封,局间信封,470.96,2,0,51.8
1226,CN-202022-5909028,2023/8/10,2023/8/14,标准级,韩莞-13255,韩莞颖,小型企业,哈尔滨,黑龙江,中国,东北,家具-椅子-10002162,家具,椅子,摇椅,4969.44,8,0,2037.28
1227,CN-202022-2075782,2023/8/21,2023/8/26,标准级,程欢-14110,程欢悦,消费者,岳阳,湖南,中国,中南,办公用-收纳-10004893,办公用品,收纳具,盒,462,6,0,179.76
1228,CN-202021-3581392,2022/12/14,2022/12/21,标准级,顾君-15220,顾君,公司,洛阳,福建,中国,华东,技术-配件-10000300,技术,配件,记忆卡,2678.9,5,0,1017.8
1229,CN-202021-2686699,2022/7/17,2022/7/24,标准级,巩松-20680,巩松,小型企业,长清,山东,中国,华东,家具-用具-10003459,家具,用具,框架,4557.42,9,0,273.42
1230,CN-202021-2686699,2022/7/17,2022/7/24,标准级,巩松-20680,巩松,小型企业,长清,山东,中国,华东,办公用-标签-10004164,办公用品,标签,文件夹标签,91.56,3,0,13.44
1231,CN-202023-3436770,2024/3/2,2024/3/8,标准级,佟丽-16525,佟丽娜,消费者,株洲,湖南,中国,中南,办公用-信封-10003694,办公用品,信封,邮寄品,189.28,1,0,20.72
1232,CN-202021-4162714,2022/10/5,2022/10/7,一级,洪毅-12490,洪毅,公司,阳江,广东,中国,中南,办公用-标签-10004567,办公用品,标签,有色标签,180.18,3,0,89.88
1233,CN-202021-4162714,2022/10/5,2022/10/7,一级,洪毅-12490,洪毅,公司,阳江,广东,中国,中南,技术-电话-10002604,技术,电话,信号增强器,2003.82,3,0,220.08
1234,CN-202021-4162714,2022/10/5,2022/10/7,一级,洪毅-12490,洪毅,公司,阳江,广东,中国,中南,办公用-装订-10004829,办公用品,装订机,孔加固材料,36.12,2,0,8.4
1235,CN-202021-4162714,2022/10/5,2022/10/7,一级,洪毅-12490,洪毅,公司,阳江,广东,中国,中南,办公用-美术-10003504,办公用品,美术,画布,601.44,3,0.2,-120.54
1236,CN-202021-4162714,2022/10/5,2022/10/7,一级,洪毅-12490,洪毅,公司,阳江,广东,中国,中南,办公用-用品-10004471,办公用品,用品,大剪刀,1292.76,6,0,581.28
1237,CN-202021-4162714,2022/10/5,2022/10/7,一级,洪毅-12490,洪毅,公司,阳江,广东,中国,中南,技术-复印-10004582,技术,复印机,复印机,2217.6,2,0,0
1238,CN-202021-4162714,2022/10/5,2022/10/7,一级,洪毅-12490,洪毅,公司,阳江,广东,中国,中南,办公用-用品-10000784,办公用品,用品,修剪器,577.92,3,0,196.14
1239,CN-202022-5960733,2023/8/20,2023/8/24,二级,刘明-18295,刘明,公司,九台,吉林,中国,东北,办公用-标签-10004066,办公用品,标签,可去除的标签,197.12,4,0,58.8
1240,CN-202022-5960733,2023/8/20,2023/8/24,二级,刘明-18295,刘明,公司,九台,吉林,中国,东北,办公用-装订-10002021,办公用品,装订机,装订机,232.96,4,0,104.72
